k	pattern	base_dec	digits	date	author	bits
17	KT17_P2	1341829940444122313597407	25	Jun 2021	Norman Luhn	81
17	KT17_P3	4413937932023165100037481	25	Dec 2008	Jaroslaw Wroblewski	82
17	KT17_P1	5767762827981847923136843	25	Dec 2008	Jaroslaw Wroblewski	83
17	KT17_P2	5797342442373866594673457	25	Dec 2008	Jaroslaw Wroblewski	83
17	KT17_P2	10534990118815493999731057	26	Dec 2008	Jaroslaw Wroblewski	84
17	KT17_P0	12619228903670164829370257	26	Dec 2008	Jaroslaw Wroblewski	84
17	KT17_P0	13272688259204223913800677	26	Dec 2008	Jaroslaw Wroblewski	84
17	KT17_P0	23281092933950338544113997	26	Jan 2009	Jaroslaw Wroblewski	85
17	KT17_P2	28354435461222964236546397	26	Jan 2009	Jaroslaw Wroblewski	85
17	KT17_P2	28945417786141422786373147	26	Jan 2009	Jaroslaw Wroblewski	85
17	KT17_P1	34407215710318773206131183	26	Feb 2009	Jaroslaw Wroblewski	85
17	KT17_P3	37287368519826076963664351	26	Feb 2009	Jaroslaw Wroblewski	85
17	KT17_P2	38229102956391338482904407	26	Jan 2009	Jaroslaw Wroblewski	85
17	KT17_P1	39463228205493543106813093	26	Feb 2009	Jaroslaw Wroblewski	86
17	KT17_P3	47513576234722162484953031	26	Feb 2009	Jaroslaw Wroblewski	86
17	KT17_P3	47853208492419453571190741	26	Feb 2009	Jaroslaw Wroblewski	86
17	KT17_P1	48723499965200144426969563	26	Mar 2009	Jaroslaw Wroblewski	86
17	KT17_P3	49435457668491638790379331	26	Mar 2009	Jaroslaw Wroblewski	86
17	KT17_P0	55117676480503095172430657	26	Mar 2009	Jaroslaw Wroblewski	86
17	KT17_P0	59584682807798169975870857	26	Apr 2009	Jaroslaw Wroblewski	86
17	KT17_P0	60181896060933411505367567	26	Apr 2009	Jaroslaw Wroblewski	86
17	KT17_P2	60260203461015825227773807	26	Mar 2009	Jaroslaw Wroblewski	86
17	KT17_P0	60564413358406851768962027	26	Apr 2009	Jaroslaw Wroblewski	86
17	KT17_P0	62199492317273534723186627	26	Apr 2009	Jaroslaw Wroblewski	86
17	KT17_P0	64428431752041597568114727	26	May 2009	Jaroslaw Wroblewski	86
17	KT17_P3	68552891188828388567298071	26	Apr 2009	Jaroslaw Wroblewski	86
17	KT17_P2	82357187896469143309815157	26	May 2009	Jaroslaw Wroblewski	87
17	KT17_P3	82979186055075407127863831	26	May 2009	Jaroslaw Wroblewski	87
17	KT17_P2	87448712438181889155213847	26	Jun 2009	Jaroslaw Wroblewski	87
17	KT17_P3	88679568717139869434078111	26	Jun 2009	Jaroslaw Wroblewski	87
17	KT17_P2	89417816378966798217367867	26	Jun 2009	Jaroslaw Wroblewski	87
17	KT17_P1	93060162061530627501044443	26	Jul 2009	Jaroslaw Wroblewski	87
17	KT17_P0	93445018438478552173384997	26	Jul 2009	Jaroslaw Wroblewski	87
17	KT17_P0	94378379636222147586937757	26	Jul 2009	Jaroslaw Wroblewski	87
17	KT17_P1	96400583555387852509886053	26	Jul 2009	Jaroslaw Wroblewski	87
17	KT17_P0	108028115325711322131336887	27	Oct 2009	Jaroslaw Wroblewski	87
17	KT17_P2	108233673706209779713888897	27	Aug 2009	Jaroslaw Wroblewski	87
17	KT17_P2	110676198907326308721578107	27	Aug 2009	Jaroslaw Wroblewski	87
17	KT17_P0	116983092273315565670500067	27	Nov 2009	Jaroslaw Wroblewski	87
17	KT17_P0	121959524354114874784103687	27	Oct 2009	Jaroslaw Wroblewski	87
17	KT17_P2	123096138040090345198211137	27	Oct 2009	Jaroslaw Wroblewski	87
17	KT17_P2	123403439872166539843841077	27	Oct 2009	Jaroslaw Wroblewski	87
17	KT17_P1	125537512169052550394134243	27	Nov 2009	Jaroslaw Wroblewski	87
17	KT17_P2	131351782821854590960897927	27	Nov 2009	Jaroslaw Wroblewski	87
17	KT17_P3	132499883151966036853859711	27	Nov 2009	Jaroslaw Wroblewski	87
18	KT18_P0	1906230835046648293290043	25	31 Jan 2001	Jörg Waldvogel & Peter Leikauf	81
18	KT18_P1	2845372542509911868266807	25	13 Nov 2000	Jörg Waldvogel & Peter Leikauf	82
18	KT18_P1	4530085223434265844952597	25	14 Dec 2008	Jaroslaw Wroblewski	82
18	KT18_P0	5660565448926871568362213	25	16 Mar 2026	John Armitage	83
18	KT18_P0	6072209091722134881897313	25	16 Mar 2026	John Armitage	83
18	KT18_P0	11298510058634407483251313	26	18 Dec 2008	Jaroslaw Wroblewski	84
18	KT18_P0	23531820918273007548405133	26	16 Jan 2009	Jaroslaw Wroblewski	85
18	KT18_P1	33755528632220819791319947	26	26 Jan 2009	Jaroslaw Wroblewski	85
18	KT18_P0	44453357465442632103684223	26	20 Feb 2009	Jaroslaw Wroblewski	86
18	KT18_P0	51342365971531191697537333	26	12 Mar 2009	Jaroslaw Wroblewski	86
18	KT18_P1	159272023128204753638724847	27	15 Jan 2010	Jaroslaw Wroblewski	88
18	KT18_P0	183837276562811649018077773	27	26 Apr 2010	Jaroslaw Wroblewski	88
18	KT18_P1	601884606346328759496455407	27	4 Feb 2011	Raanan Chermoni & Jaroslaw Wroblewski	89
18	KT18_P1	630134041802574490482213907	27	9 Feb 2011	Raanan Chermoni & Jaroslaw Wroblewski	90
18	KT18_P1	656632460108426841186109957	27	19 Feb 2011	Raanan Chermoni & Jaroslaw Wroblewski	90
18	KT18_P1	917810189564189435979968497	27	29 May 2011	Raanan Chermoni & Jaroslaw Wroblewski	90
18	KT18_P1	1298727446766852814126007587	28	9 Dec 2011	Raanan Chermoni & Jaroslaw Wroblewski	91
